DEBUG   | mcmc.py      | loglik=457140.6/457040.1, aratio=0.00, params=[512698 324822 380208], False
DEBUG   | mcmc.py      | loglik=457042.4/457040.1, aratio=0.11, params=[509923 302821 354239], False
DEBUG   | mcmc.py      | loglik=457105.8/457040.1, aratio=0.00, params=[505537 318364 373638], False
DEBUG   | mcmc.py      | loglik=457065.6/457040.1, aratio=0.00, params=[527600 318355 339140], False
DEBUG   | mcmc.py      | loglik=457017.4/457040.1, aratio=1.00, params=[506359 289523 358110], True
DEBUG   | mcmc.py      | loglik=457030.4/457017.4, aratio=0.00, params=[502776 287739 369664], False
DEBUG   | mcmc.py      | loglik=456922.7/457017.4, aratio=1.00, params=[506901 250897 351913], True
DEBUG   | mcmc.py      | loglik=457008.0/456922.7, aratio=0.00, params=[505787 270724 376057], False
DEBUG   | mcmc.py      | loglik=456869.4/456922.7, aratio=1.00, params=[511958 221129 357759], True
DEBUG   | mcmc.py      | loglik=456862.3/456869.4, aratio=1.00, params=[504897 229229 346334], True
DEBUG   | mcmc.py      | loglik=456919.6/456862.3, aratio=0.00, params=[515981 218533 390222], False
DEBUG   | mcmc.py      | loglik=456864.3/456862.3, aratio=0.14, params=[525517 219398 348247], False
DEBUG   | mcmc.py      | loglik=456740.5/456862.3, aratio=1.00, params=[497389 194721 322346], True
DEBUG   | mcmc.py      | loglik=456787.3/456740.5, aratio=0.00, params=[494103 188187 367850], False
DEBUG   | mcmc.py      | loglik=456745.1/456740.5, aratio=0.01, params=[504412 211710 295123], False
DEBUG   | mcmc.py      | loglik=456690.2/456740.5, aratio=1.00, params=[498891 191544 289555], True
DEBUG   | mcmc.py      | loglik=456608.4/456690.2, aratio=1.00, params=[482307 172803 265275], True
DEBUG   | mcmc.py      | loglik=456750.5/456608.4, aratio=0.00, params=[490718 205936 316944], False
DEBUG   | mcmc.py      | loglik=456564.0/456608.4, aratio=1.00, params=[486704 126072 299178], True
DEBUG   | mcmc.py      | loglik=456597.9/456564.0, aratio=0.00, params=[491232 130752 320139], False
DEBUG   | mcmc.py      | loglik=456563.1/456564.0, aratio=1.00, params=[488053 118595 310031], True
DEBUG   | mcmc.py      | loglik=456580.8/456563.1, aratio=0.00, params=[469229 145814 296289], False
DEBUG   | mcmc.py      | loglik=456602.5/456563.1, aratio=0.00, params=[503599 143001 293429], False
DEBUG   | mcmc.py      | loglik=456581.1/456563.1, aratio=0.00, params=[476392 116504 341412], False
DEBUG   | mcmc.py      | loglik=456470.8/456563.1, aratio=1.00, params=[459539  73570 285983], True
DEBUG   | mcmc.py      | loglik=456454.4/456470.8, aratio=1.00, params=[461530  76395 246504], True
