INFO    | mcmc.py      | {'ntips': 2, 'root_height': 1000000.0, 'params': [200000.0, 200000.0, 400000.0], 'recomb': 2e-09, 'nsites': 1000000.0, 'nsamples': 4, 'seed': 666, 'name': 'combined-224', 'mcmc_nsamples': 10000, 'mcmc_sample_interval': 5, 'mcmc_print_interval': 50, 'mcmc_burnin': 500, 'threads': 75, 'force': True, 'mcmc_jumpsize': [20000.0, 20000.0, 40000.0], 'log_level': 'INFO', 'log_file': './combined-224.log', 'data_type': 'combined'}
INFO    | mcmc.py      | 2100	 220	118947.303	[ 94453 203117 521834]	0.49	0:25:08	sample
INFO    | mcmc.py      | 2150	 230	118941.218	[200140 179816 361408]	0.49	0:25:42	sample
INFO    | mcmc.py      | 2200	 240	118943.814	[174248 152346 527825]	0.49	0:26:18	sample
INFO    | mcmc.py      | 2250	 250	118940.762	[165227 199130 402524]	0.48	0:26:57	sample
INFO    | mcmc.py      | 2300	 260	118941.256	[166640 212037 416961]	0.48	0:27:33	sample
INFO    | mcmc.py      | 2350	 270	118941.442	[211465 179905 379602]	0.49	0:28:06	sample
INFO    | mcmc.py      | 2400	 280	118941.817	[160311 163958 423181]	0.48	0:28:40	sample
INFO    | mcmc.py      | 2450	 290	118941.960	[161156 214629 445869]	0.48	0:29:20	sample
INFO    | mcmc.py      | 2500	 300	118942.302	[141957 210060 363351]	0.48	0:29:55	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[181846 187245 402809 118942]
INFO    | mcmc.py      | MCMC current posterior std =[31842 32119 47344     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[118, 130, 123, 159]

INFO    | mcmc.py      | 2550	 310	118942.464	[126692 243094 386730]	0.48	0:30:33	sample
INFO    | mcmc.py      | 2600	 320	118941.826	[186882 148901 405515]	0.48	0:31:09	sample
INFO    | mcmc.py      | 2650	 330	118943.304	[130852 269174 417199]	0.48	0:31:46	sample
INFO    | mcmc.py      | 2700	 340	118943.546	[160429 179076 340635]	0.49	0:32:16	sample
INFO    | mcmc.py      | 2750	 350	118945.917	[262671 183763 282132]	0.48	0:32:51	sample
INFO    | mcmc.py      | 2800	 360	118942.314	[154649 200819 479189]	0.48	0:33:30	sample
INFO    | mcmc.py      | 2850	 370	118941.875	[175249 227686 341338]	0.48	0:34:09	sample
INFO    | mcmc.py      | 2900	 380	118942.432	[151884 205823 478857]	0.48	0:34:38	sample
INFO    | mcmc.py      | 2950	 390	118940.902	[194812 178332 394083]	0.49	0:35:05	sample
INFO    | mcmc.py      | 3000	 400	118943.186	[165630 186026 504575]	0.49	0:35:43	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[179716 189481 403407 118942]
INFO    | mcmc.py      | MCMC current posterior std =[31886 32442 47273     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[146, 142, 167, 194]

INFO    | mcmc.py      | 3050	 410	118941.649	[184367 210442 402817]	0.49	0:36:15	sample
INFO    | mcmc.py      | 3100	 420	118941.534	[213986 178910 380072]	0.49	0:36:45	sample
INFO    | mcmc.py      | 3150	 430	118943.550	[138379 281248 349256]	0.49	0:37:25	sample
INFO    | mcmc.py      | 3200	 440	118941.100	[176825 210281 367303]	0.49	0:38:00	sample
INFO    | mcmc.py      | 3250	 450	118943.179	[206330 124544 449987]	0.49	0:38:35	sample
INFO    | mcmc.py      | 3300	 460	118941.243	[190800 178871 359200]	0.49	0:39:05	sample
INFO    | mcmc.py      | 3350	 470	118942.541	[135822 206221 377004]	0.49	0:39:43	sample
INFO    | mcmc.py      | 3400	 480	118941.274	[201169 166608 422356]	0.49	0:40:17	sample
INFO    | mcmc.py      | 3450	 490	118942.479	[182922 232784 328337]	0.49	0:40:51	sample
INFO    | mcmc.py      | 3500	 500	118941.492	[211307 158573 375851]	0.49	0:41:27	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[179409 191522 402321 118942]
INFO    | mcmc.py      | MCMC current posterior std =[32116 34262 46687     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[178, 137, 217, 294]

INFO    | mcmc.py      | 3550	 510	118941.207	[170989 173013 390761]	0.49	0:41:56	sample
INFO    | mcmc.py      | 3600	 520	118941.876	[210995 173694 341993]	0.49	0:42:31	sample
INFO    | mcmc.py      | 3650	 530	118941.338	[199582 187929 399598]	0.49	0:43:09	sample
INFO    | mcmc.py      | 3700	 540	118942.744	[136167 181228 483486]	0.49	0:43:41	sample
INFO    | mcmc.py      | 3750	 550	118940.849	[179963 198757 382611]	0.49	0:44:17	sample
INFO    | mcmc.py      | 3800	 560	118941.156	[153311 217353 381289]	0.49	0:44:49	sample
INFO    | mcmc.py      | 3850	 570	118943.569	[135958 178952 516090]	0.49	0:45:24	sample
INFO    | mcmc.py      | 3900	 580	118942.861	[137111 239586 344682]	0.49	0:46:00	sample
INFO    | mcmc.py      | 3950	 590	118941.632	[160410 165438 442293]	0.49	0:46:34	sample
INFO    | mcmc.py      | 4000	 600	118940.883	[166406 192631 383568]	0.49	0:47:14	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[179339 190779 402277 118942]
INFO    | mcmc.py      | MCMC current posterior std =[32246 34084 46536     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[218, 190, 293, 320]

INFO    | mcmc.py      | 4050	 610	118941.161	[166553 177213 447487]	0.49	0:47:48	sample
INFO    | mcmc.py      | 4100	 620	118942.850	[151975 218437 329180]	0.49	0:48:23	sample
INFO    | mcmc.py      | 4150	 630	118941.803	[191730 146100 445101]	0.49	0:48:57	sample
INFO    | mcmc.py      | 4200	 640	118942.053	[171001 231689 336051]	0.49	0:49:33	sample
INFO    | mcmc.py      | 4250	 650	118942.363	[155120 201339 345166]	0.49	0:50:05	sample
INFO    | mcmc.py      | 4300	 660	118941.716	[205549 164402 436314]	0.49	0:50:44	sample
INFO    | mcmc.py      | 4350	 670	118942.520	[192768 228258 359745]	0.49	0:51:14	sample
INFO    | mcmc.py      | 4400	 680	118941.145	[180113 207154 393646]	0.49	0:51:47	sample
INFO    | mcmc.py      | 4450	 690	118943.247	[237471 178023 319086]	0.49	0:52:23	sample
INFO    | mcmc.py      | 4500	 700	118941.629	[143462 197172 455239]	0.49	0:52:58	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[178838 191664 400998 118942]
INFO    | mcmc.py      | MCMC current posterior std =[31769 33464 47128     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[271, 227, 314, 404]

INFO    | mcmc.py      | 4550	 710	118942.344	[138447 180145 449237]	0.49	0:53:38	sample
INFO    | mcmc.py      | 4600	 720	118942.270	[135430 205572 387901]	0.49	0:54:10	sample
INFO    | mcmc.py      | 4650	 730	118944.189	[202468 147420 331550]	0.49	0:54:41	sample
INFO    | mcmc.py      | 4700	 740	118941.828	[196773 167602 451795]	0.49	0:55:20	sample
INFO    | mcmc.py      | 4750	 750	118942.163	[157099 212464 459284]	0.49	0:55:55	sample
INFO    | mcmc.py      | 4800	 760	118943.683	[147610 156225 508864]	0.49	0:56:31	sample
INFO    | mcmc.py      | 4850	 770	118944.102	[205387 132905 510230]	0.49	0:57:03	sample
INFO    | mcmc.py      | 4900	 780	118941.206	[151163 208567 431215]	0.49	0:57:40	sample
INFO    | mcmc.py      | 4950	 790	118940.853	[164469 183313 416659]	0.49	0:58:16	sample
INFO    | mcmc.py      | 5000	 800	118941.279	[185575 197095 412775]	0.49	0:58:53	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[178794 191375 401761 118942]
INFO    | mcmc.py      | MCMC current posterior std =[31771 33574 47315     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[314, 229, 348, 457]

INFO    | mcmc.py      | 5050	 810	118941.320	[148389 216150 426892]	0.49	0:59:29	sample
INFO    | mcmc.py      | 5100	 820	118944.458	[130388 206515 531447]	0.49	1:00:01	sample
INFO    | mcmc.py      | 5150	 830	118941.928	[146197 206909 465075]	0.49	1:00:33	sample
INFO    | mcmc.py      | 5200	 840	118942.947	[130322 186902 481328]	0.49	1:01:05	sample
INFO    | mcmc.py      | 5250	 850	118944.371	[196640 249424 357042]	0.49	1:01:47	sample
INFO    | mcmc.py      | 5300	 860	118941.741	[209727 193591 357780]	0.49	1:02:22	sample
INFO    | mcmc.py      | 5350	 870	118943.431	[232036 182459 404591]	0.49	1:02:52	sample
INFO    | mcmc.py      | 5400	 880	118941.516	[158784 208881 442323]	0.49	1:03:33	sample
INFO    | mcmc.py      | 5450	 890	118942.615	[157422 210622 330774]	0.49	1:04:12	sample
INFO    | mcmc.py      | 5500	 900	118942.032	[183550 192472 330549]	0.49	1:04:41	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[178320 191735 401809 118942]
INFO    | mcmc.py      | MCMC current posterior std =[32073 33063 48220     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[336, 259, 377, 501]

INFO    | mcmc.py      | 5550	 910	118943.499	[158529 271264 370677]	0.49	1:05:19	sample
INFO    | mcmc.py      | 5600	 920	118941.130	[189997 181205 362203]	0.49	1:05:54	sample
INFO    | mcmc.py      | 5650	 930	118941.316	[190841 202534 356315]	0.49	1:06:25	sample
INFO    | mcmc.py      | 5700	 940	118944.031	[244558 139669 331930]	0.49	1:07:03	sample
INFO    | mcmc.py      | 5750	 950	118942.748	[184114 171151 489127]	0.49	1:07:40	sample
INFO    | mcmc.py      | 5800	 960	118943.467	[208881 214061 302105]	0.49	1:08:14	sample
INFO    | mcmc.py      | 5850	 970	118944.399	[112631 265964 461833]	0.49	1:08:54	sample
INFO    | mcmc.py      | 5900	 980	118941.284	[195360 196872 384920]	0.49	1:09:26	sample
INFO    | mcmc.py      | 5950	 990	118941.692	[175571 169471 468639]	0.49	1:10:00	sample
INFO    | mcmc.py      | 6000	1000	118941.812	[167914 210343 338200]	0.49	1:10:35	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[178514 191635 401472 118942]
INFO    | mcmc.py      | MCMC current posterior std =[32159 33065 48063     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[385, 308, 442, 573]

INFO    | mcmc.py      | 6050	1010	118941.423	[193770 202184 353132]	0.49	1:11:14	sample
INFO    | mcmc.py      | 6100	1020	118941.808	[175023 230730 354899]	0.49	1:11:48	sample
INFO    | mcmc.py      | 6150	1030	118943.358	[157498 168462 521619]	0.49	1:12:21	sample
INFO    | mcmc.py      | 6200	1040	118942.026	[188547 205625 417860]	0.49	1:12:59	sample
INFO    | mcmc.py      | 6250	1050	118940.985	[183281 188332 366081]	0.49	1:13:33	sample
INFO    | mcmc.py      | 6300	1060	118941.631	[141082 204718 396326]	0.49	1:14:08	sample
INFO    | mcmc.py      | 6350	1070	118941.881	[200256 207527 370976]	0.49	1:14:42	sample
